,course_id,section_name,meeting_id,building_abb,room,monday,tuesday,wednesday,thursday,friday,saturday,sunday,frequency,section_status,days,section_title,min_credits,faculty_name,meeting_info,course_description,building_names,faculty_first,faculty_last,division,department_abbreviation,department_name,course_num,seven_week,term,start_date,end_date,start_time,end_time,gen_ed_abb,gen_ed_names,same_as,max_credits,also_fulfills,section_comments,pre_reqs,co_reqs,lab
0,96487,POLS-130-A,57386.0,OLIN,209,Y,,Y,,Y,,,W,A,MWF,American Politics,4,M.Engelhardt,"09/02/2015-12/11/2015 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Olin, Room 209",An overview of the historical and contemporary practice of American politics that focuses on the nature of politics and government; the founders' ideas about the democratic republic; the constitutional theory and actual distribution of political power among the branches and levels of government; the problems and possibilities of governing America today; and the avenues available for citizen participation and influence.,Olin,M,Engelhardt,Social Sciences,POLS,Political Science,130,0,Fall 2015,9/2/2015,12/17/2015,9:15,10:15,"HBSSM,HIST","Human Behavior Social Science Methods,Historical",,0.0,HB,,,,
1,96488,POLS-132-A,57387.0,KORE,218,,Y,,Y,,,,W,A,TR,Global Politics,4,P.Gardner,"09/03/2015-12/10/2015 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Koren, Room 218","This course will introduce students to (1) global issues, with examination of themes like globalization, economic development and poverty, global warming, ethnic conflict, democratization and war, and (2) global governance, with emphasis on the role of states, non-state actors and multilateral institutions.",Koren,P,Gardner,Social Sciences,POLS,Political Science,132,0,Fall 2015,9/2/2015,12/17/2015,8:00,9:30,"INTCL,HBSSM","Intercultural,Human Behavior Social Science Methods",,0.0,HB,,,,
2,96489,POLS-132-B,57388.0,OLIN,B1,Y,,Y,,Y,,,W,A,MWF,Global Politics,4,P.Dos Santos,"09/07/2015-12/11/2015 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Olin, Room B1","This course will introduce students to (1) global issues, with examination of themes like globalization, economic development and poverty, global warming, ethnic conflict, democratization and war, and (2) global governance, with emphasis on the role of states, non-state actors and multilateral institutions.",Olin,P,Dos Santos,Social Sciences,POLS,Political Science,132,0,Fall 2015,9/2/2015,12/17/2015,11:00,12:00,"INTCL,HBSSM","Intercultural,Human Behavior Social Science Methods",,0.0,HB,,,,
3,96493,POLS-247-A,57389.0,VALD,254,,Y,,Y,,,,W,A,TR,Social Policy,4,C.Foster,"09/03/2015-12/10/2015 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Valders, Room 254","By focusing on current governmental efforts to reduce poverty, this course will investigate the influence of race, gender, class, ideology, demography, organized interests, and a market economy on how social policy is made in America.",Valders Hall of Science,C,Foster,Social Sciences,POLS,Political Science,247,0,Fall 2015,9/2/2015,12/17/2015,8:00,9:30,"INTCL,HBSSM,HIST","Intercultural,Human Behavior Social Science Methods,Historical",,0.0,HB,,,,
4,96494,POLS-258-A,57390.0,VALD,254,Y,,Y,,Y,,,W,A,MWF,Environmental Politics & Polic,4,J.Moeller,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Valders, Room 254","In this course, students will identify and examine environmental issues confronting the United States, as well as the larger world. Students will identify and evaluate both current and proposed policies for addressing those issues. We will pay particular attention to the range of actors involved in the making of environmental policy and will emphasize the relationship among politics, economics, ethics, and science in the making of environmental policies in the United States and internationally.",Valders Hall of Science,J,Moeller,Social Sciences,POLS,Political Science,258,0,Fall 2015,9/2/2015,12/17/2015,8:00,9:00,HBSSM,Human Behavior Social Science Methods,,0.0,HB,,,,
5,96495,POLS-335-A,57391.0,KORE,218,Y,,Y,,Y,,,W,A,MWF,Terrorism & Democracy,4,P.Gardner,"09/02/2015-12/17/2015 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Koren, Room 218","This course will use works of social science, fiction and film to explore the following issues: the sources of modern terrorism, the political nature of terrorism and the tensions inherent in democracies between civil liberties and national security.  A variety of terrorist organizations and countries will be investigated, with special attention to how the United States and other democracies have responded to terrorist attacks.",Koren,P,Gardner,Social Sciences,POLS,Political Science,335,0,Fall 2015,9/2/2015,12/17/2015,12:15,13:15,"HBSSM,HIST,INTCL","Human Behavior Social Science Methods,Historical,Intercultural",,0.0,HB,,,,
6,96497,POLS-355-A,57393.0,VALD,254,Y,,Y,,Y,,,W,A,MWF,Constitutional Law,4,C.Foster,"09/02/2015-12/11/2015 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Valders, Room 254","Relying primarily on Supreme Court opinion, the course emphasizes how the Supreme Court has and should interpret the Constitution. The course examines the role of the Supreme Court and the allocation of governmental powers within the American constitutional/political system.",Valders Hall of Science,C,Foster,Social Sciences,POLS,Political Science,355,0,Fall 2015,9/2/2015,12/17/2015,11:00,12:00,"HEPT,HB","Human Expression Primary Text,Human Behavior",,0.0,HE,,,,
7,96503,POLS-490-A,57394.0,ARR,ARR,,,,,,,,W,A,,Senior Project,1,"M.Engelhardt,P.Gardner,J.Moeller,P.Dos Santos,C.Foster","09/02/2015-12/17/2015 Independent Studies Days to be Announced, Times to be AnnouncedArranged, Room ARR",,To be Announced,"M, P, J, P, C","Engelhardt, Gardner, Moeller, Dos Santos, Foster",Social Sciences,POLS,Political Science,490,0,Fall 2015,9/2/2015,12/17/2015,NA,NA,,,,0.0,,,,,
8,96645,POLS-485-A,57396.0,KORE,218,,Y,,Y,,,,W,A,TR,Sem:Decision-Mak Pol Cris,4,M.Engelhardt,"09/02/2015-12/17/2015 Seminar Tuesday, Thursday 11:00AM - 12:30PM, Koren, Room 218","This course will explore how political leaders make decisions in high-threat, high-stakes situations.  The course will begin by exploring several cases of decision-making with positive and negative outcomes.  Case studies will include the Cuban Missile Crisis of 1962, the invasion of Iraq in 2003 and another international crisis. Students will then explore a case of their own choosing, write a research paper and present the findings to the class.  Topics are not limited to international crisis.  Open only to 3rd and 4th year Political Science majors.",Koren,M,Engelhardt,Social Sciences,POLS,Political Science,485,0,Fall 2015,9/2/2015,12/17/2015,11:00,12:30,,,,0.0,,Open only to 3rd and 4th year Political Science majors.,,,
9,96646,CLAS-270-A,57397.0,MAIN,112,,Y,,Y,,,,W,A,TR,Archaeology of Ancient Greece,4,D.Davis,"09/03/2015-12/10/2015 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 112","An in-depth study of the archaeology of ancient Greece, with a focus on the high points of Greek civilization and material culture during the Classical and Hellenistic periods.  We will examine archaeological methods along with developments in technology, architecture, sculpture, painting, and the minor arts.  We will also consider the nature of archaeological evidence, the relationship between classical archaeology and history, and the legacy of Athens and the classical world in modern culture. Offered alternate years.",Main Building,D,Davis,Humanities,CLAS,Classics,270,0,Fall 2015,9/2/2015,12/17/2015,12:45,14:15,"HIST,HEPT","Historical,Human Expression Primary Text",,0.0,HE,,,,
